word,translation
и,"and"
в,"in, at, on, within"
не,"not"
он,"he"
на,"on (place)"
я,"I, me, myself"
что,"what"
тот,"that, that one, those, the other"
быть,"to be"
с,"with"
а,"and (as contrast)"
весь,"village"
как,"how"
по,"along, down, through, across"
но,"but"
к,"towards"
у,"(possession)"
из,"from (the inside of)"
за,"behind"
так,"so, thus, like this, this way, then"
же,"same, again, already"
сказать,"to say, to tell, to speak, to talk"
этот,"this"
который,"which, that, what"
о,"about"
человек,"person, man, people"
один,"one, 1"
ещё,"still, even, more, else"
бы,"would (be able to)"
такой,"such, so, that sort of"
только,"only"
себя,"oneself, ourselves, yourselves, himself, herself, itself, yourself, myself, themselves"
какой,"which, what, what kind of"
для,"for (the benefit of)"
уже,"already, by this time, by now, ready, no longer"
когда,"when, while, as"
кто,"who"
вот,"here, there, there is"
да,"yes"
год,"year"
знать,"know, be aware, be acquainted, it seems"
если,"if"
до,"to (direction)"
говорить,"speak, talk"
или,"or"
мой,"my, mine, my people"
время,"time, times, tense, weather"
самый,"the most"
нет,"no"
ни,"neither"
стать,"article"
большой,"big, large, great, important, grown-up"
наш,"our, ours, our lot"
даже,"even"
другой,"other, another, another thing, something else, others, the rest"
свой,"one's own (reflexive)"
дело,"business, work"
под,"under"
где,"where"
чтобы,"so that"
ну,"well"
сам,"ourselves, yourself, oneself, yourselves, himself, herself, itself, themselves"
есть,"to eat"
раз,"time"
два,"two, 2"
там,"there, later, by and by"
глаз,"eye"
первый,"first, front, former, earliest"
день,"day, daytime"
жизнь,"life, existence"
тут,"mulberry fruit"
потом,"afterwards, then, later on, later"
очень,"very, very much, greatly"
ли,"whether, if"
при,"at"
надо,"need"
голова,"head, mind, brains, chief, master"
без,"without"
видеть,"see"
теперь,"now, nowadays, today"
идти,"to go, to walk"
друг,"friend"
сейчас,"now, just now"
дом,"house, home, house-hold"
тоже,"also, as well, too"
после,"after, afterwards, later"
можно,"one can (it is possible)"
слово,"word"
через,"across, over, at"
место,"place, spot, site, locality"
думать,"think, consider, reflect, ponder, believe, intend"
здесь,"here, with us, in this country, about it, in it, at this point"
лицо,"face, the right side, person, face to face"
тогда,"then, while, at that time, at that moment"
ведь,"in fact"
новый,"new"
каждый,"each, every, everyone"
хороший,"good, nice"
жить,"live"
почему,"why"
сторона,"side, part"
смотреть,"to look, to watch"
иметь,"to have, keep, hold, possess, carry, be, mean"
просто,"it is simple, it is easy, simply"
понять,"understand, comprehend, realize, realise"
делать,"make, do"
сделать,"make"
вдруг,"suddenly, all of a sudden, in case"
никто,"nobody, no one"
работа,"work, working, job"
перед,"in front of"
ваш,"your, yours"
над,"above, over"
взять,"to take"
конечно,"certainly"
понимать,"understand, comprehend, realize"
дверь,"door"
три,"three"
конец,"end, ending"
город,"city, town"
несколько,"some a few several"
начать,"begin, start, commence"
голос,"voice, part, vote"
час,"hour, time, hours"
пока,"bye (informal)"
уж,"grass snake"
последний,"last, latest, recent"
более,"more"
хорошо,"it is good, it is pleasant, well, good"
хотя,"although, though, at least, despite"
сила,"power, might, strength, force"
вода,"water"
второй,"second, the latter"
увидеть,"see"
всегда,"always"
давать,"give, let"
случай,"case or occasion, chance, opportunity, event, incident, occurrence"
куда,"where (to), whereto"
пойти,"(will) go on foot"
стол,"table"
машина,"car"
мир,"world"
ночь,"night"
женщина,"woman, women, womanfolk, womankind"
остаться,"to remain or stay"
сразу,"immediately, at once"
совсем,"entirely, totally, completely, quite, at all"
выйти,"leave, go out, get out"
вид,"view"
отец,"father"
вопрос,"question"
дать,"give, allocate"
работать,"work, operate"
оказаться,"to turn out to be"
ряд,"row"
почти,"almost, nearly"
снова,"again (anew)"
старый,"old, ancient"
страна,"country, "
твой,"your, yours, thy, thine, your people"
между,"between"
ответить,"answer"
много,"much"
война,"war, warfare"
подумать,"to think a little, for a while"
любить,"love"
белый,"white"
главный,"main"
лишь,"only, as soon as, merely, just"
опять,"again (occurring another time)"
однако,"however, though, but"
правда,"truth"
посмотреть,"look, watch"
никогда,"never, ever"
будто,"as if, as though"
часть,"part"
именно,"exactly, namely, to wit, that is, just"
найти,"find"
дорога,"road, way, journey"
свет,"light"
никакой,"no...at all, no...whatsoever, none"
окно,"window, casement-window, window-sill, gap, opening, port, slot"
мать,"mother"
решить,"decide"
получить,"receive, get, obtain"
улица,"street"
вернуться,"to return, come back (from)"
вообще,"in general, generally"
маленький,"little, small"
считать,"consider, deem, find, think"
комната,"room"
вечер,"evening"
сегодня,"today"
душа,"soul"
книга,"book, volume"
вместе,"together"
чуть,"nearly"
пол,"floor, ground"
помнить,"to remember, recollect, keep in mind"
сколько,"how much, how many"
народ,"people, nation"
хоть,"though, even"
взгляд,"look, gaze, stare"
русский,"Russian"
зачем,"what for, why"
история,"history, story, event"
полный,"full, complete"
узнать,"learn"
любой,"any, every, anyone, either"
ходить,"go, walk, move, pass"
заметить,"notice, note, observe, sight, catch sight, pay heed, remark"
известный,"well-known"
словно,"as if like or seemingly"
наконец,"finally, at last"
общий,"common, general, overall"
имя,"name, first name"
назад,"back, backwards"
мысль,"thought"
уйти,"leave, depart"
быстро,"fast, quickly, rapidly, with speed"
давно,"how long, long ago"
слушать,"listen to, hear, attend, examine chest, auscultate, obey"
прямо,"straight"
разговор,"conversation, talk"
долго,"a long time, for a long time"
нельзя,"one cannot, you can't, it's impossible"
право,"right"
лес,"woods, forest"
пять,"five, 5"
сын,"son"
путь,"way, track, path"
пора,"it is time to"
кроме,"except, besides"
оставаться,"remain, stay, be left"
совершенно,"perfectly (adv)"
поэтому,"that is why, therefore, so"
написать,"write"
пусть,"let"
чувствовать,"to feel, have a sensation, sense, taste"
месяц,"month"
целый,"whole, entire"
вести,"to lead, conduct, direct"
молодой,"young, youthful"
огромный,"enormous, huge, vast"
тело,"body"
настоящий,"present, currently"
продолжать,"to continue, go on, proceed, extend, prolong"
точно,"exactly, precisely, right"
язык,"tongue"
мама,"mom, mama, mommy, mummy"
смерть,"death"
власть,"power"
мальчик,"boy"
также,"also, as well, too, either"
брать,"to take, to get"
образ,"shape, form, image"
отношение,"relationship"
сердце,"heart"
пройти,"pass"
вокруг,"around, round, about"
девушка,"girl, lass"
солдат,"soldier, regular, private"
иногда,"sometimes, at times"
забыть,"to forget [something]"
вспомнить,"to recall, remember"
небо,"sky"
затем,"then, after that, thereupon, upon which, subsequently, for that reason"
система,"system"
воздух,"air (usually uncountable)"
оба,"both"
собственный,"one's own"
находиться,"be situated"
держать,"to hold, keep, support"
показать,"to show"
ребята,"lads, boys, guys"
брат,"brother"
квартира,"flat, quarters"
откуда,"from where"
четыре,"four, 4"
рассказать,"to tell"
особенно,"particularly"
кровь,"blood"
внимание,"attention, notice"
поставить,"to put, place"
вроде,"seem, think, like, sort of, kind of"
например,"for example, for instance"
оставить,"to leave leave alone left"
туда,"there, to there"
действительно,"really, actually, indeed"
мало,"little, few, a little bit"
школа,"school, schoolhouse"
равно,"is indifferent, alike, in like manner, nor"
труд,"work, labor"
сюда,"here"
слишком,"too (much), too (more than enough)"
следующий,"following"
парень,"boy, guy, fellow, lad, chap, bloke"
группа,"group, cluster, clump"
солнце,"sun"
любовь,"love"
войти,"enter, go in, come in, include"
ответ,"answer, reply, response"
десять,"ten, 10"
спать,"to sleep"
двадцать,"twenty"
берег,"shore"
помощь,"help"
мужчина,"man"
момент,"moment (time)"
искать,"to look for, search, seek"
газета,"newspaper, paper, daily paper, daily"
против,"against, opposite, facing, contrary to, to, as against"
верить,"to believe, trust"
чувство,"sense, feeling (sensation)"
порядок,"order of magnitude"
семья,"family"
армия,"army, forces, host"
играть,"to play"
возможность,"opportunity, chance, means, resources"
разве,"Really...?"
впрочем,"however"
движение,"movement, motion, stirring"
муж,"husband, man"
тихо,"quietly, it is calm, it is quiet, softly, gently, faintly, silently"
огонь,"fire"
иной,"different, other, not the same as in another option or choice"
бежать,"to run"
наверное,"probably, maybe, most likely"
простой,"simple, easy, common, plain, mere"
принять,"to take"
угол,"corner, angle, home"
смысл,"meaning, sense, significance"
открыть,"to open, to unbar, to turn on"
общество,"society"
военный,"(relational) war"
дерево,"tree, wood"
снег,"snow"
либо,"or"
ехать,"to go (by horse or vehicle), drive, ride"
очередь,"queue, line"
форма,"form, shape, mound"
закон,"law, act, statute"
собака,"dog"
домой,"homeward, home, to one's home"
попасть,"to get (to)"
состояние,"the state (the condition of somethings existence)"
сон,"dream"
часто,"often, frequently"
девочка,"girl, little girl, girlie"
камень,"stone, rock"
сначала,"firstly, at first, all over again, afresh"
ветер,"wind, breeze"
проблема,"problem"
связь,"connection, link, bond, touch"
номер,"number, size, room, issue, item on the programme, turn, trick"
средство,"remedy"
единственный,"only, the only"
действие,"action"
ход,"motion, run, speed, way, course, progress"
государство,"State"
российский,"Russian (related to the state)"
глава,"head, chief"
партия,"party, detachment, group, set"
край,"edge (border, end), brim, brink, side, line"
вперёд,"forward (куда) about direction, ahead"
судьба,"fate, fortune, destiny"
речь,"Talk about, speech, enunciation, style of speaking, language, discourse, oration, address"
заниматься,"to be engaged"
вполне,"fully entirely or perfectly"
причина,"reason"
никак,"in no way"
страх,"fear"
едва,"hardly, only just, scarcely, just, barely"
море,"sea, ocean"
зал,"hall, audience chamber, reception-room"
врач,"doctor"
возле,"near, beside, by"
довольно,"enough, sufficient"
основной,"basic"
ясно,"clearly"
боль,"pain"
вчера,"yesterday"
вещь,"thing, things, belongings, clothes, work"
результат,"result, outcome"
число,"number, quantity"
цель,"aim, goal, object, objective, target, mark"
положение,"situation"
бывший,"former, late, quondam, ex-"
далеко,"far, it is far, it is a long way, far off, a long way off, a great distance away"
проходить,"to pass, go to, to walk"
план,"plan, scheme, map, target"
около,"near, about"
широкий,"wide"
завтра,"tomorrow"
снять,"to take off (clothes), remove"
плохо,"it is bad"
представить,"to introduce, to place before [someone]"
небольшой,"small, not great, short"
обычно,"usually, generally, commonly, as a rule"
волос,"hair"
объяснить,"explain, account"
пара,"couple, match"
решение,"decision"
купить,"buy, purchase"
иначе,"otherwise, or else, else"
класс,"class, form, class-room"
центр,"center, centre"
скоро,"quickly, fast, soon"
прежде,"before, first, formerly, in former times"
пить,"drink"
встреча,"meeting, reception, match, meet, appointment"
однажды,"one day"
служба,"service, work"
процесс,"process, trial, legal proceedings, legal action, cause, case, lawsuit, suit, active condition"
президент,"president"
сквозь,"through"
сообщить,"report, let know, communicate, impart, inform"
герой,"hero"
дух,"ghost spirit mind"
мимо,"past, by"
кстати,"by the way, incidentally, besides, in fact"
счастье,"happiness, luck, good fortune"
удар,"blow, kick, stroke, impact, stab, lash, slash, punch, cuff"
старший,"elder, oldest, eldest, senior, chief, man in charge, elders"
вместо,"instead of"
самолёт,"aircraft, aeroplane, airplane, plane, air-liner"
трудно,"difficultly"
деревня,"village (small settlement), hamlet"
картина,"picture"
ум,"mind, brains, wit, intellect"
менее,"less"
предложить,"suggest"
вызвать,"to call, to send for"
многие,"many"
легко,"lightly, slightly"
государственный,"state"
рабочий,"a worker"
телефон,"telephone, phone"
компания,"company"
принимать,"take"
вниз,"down, downwards"
автор,"author, authoress, writer, composer, begetter"
интерес,"interest"
провести,"spend"
двое,"two"
счёт,"bill"
спокойно,"quietly, calmly"
местный,"local, of a place"
игра,"play"
качество,"quality, exchange"
родной,"native, home, dear, darling, relatives, relations, kinsfolk, kin"
член,"member"
достаточно,"it is enough, sufficiently, enough"
золотой,"golden"
развитие,"development, unfolding of events etc"
важный,"important, significant, grand, pompous"
банк,"bank (financial establishment), faro"
столько,"so much, so many, as much"
институт,"institute, "
правительство,"government"
уровень,"level, standard"
профессор,"professor"
событие,"event"
союз,"union, alliance, Union, league, agreement, conjunction"
король,"king"
половина,"half"
область,"area province region"
ситуация,"situation"
кухня,"kitchen, cook-house, galley, cooking, cuisine, machinations"
род,"generation, birth, origin, stock, family, race, kin"
течение,"current, flow, stream"
помочь,"help, assist, aid, give sb. a hand"
немецкий,"German"
создать,"to found, to originate"
поскольку,"since"
получать,"Receive, get, obtain, getting"
шесть,"six, 6"
борьба,"struggle"
правило,"rule, precept, principle, maxim, law, canon (regulation)"
программа,"program"
звук,"sound"
неожиданно,"unexpectedly, suddenly"
чай,"tea, tea-party, methinks, maybe"
роль,"role"
сознание,"consciousness"
команда,"team, crew, party"
спасибо,"thanks, thank you"
прекрасный,"wonderful, beautiful, fine, excellent"
магазин,"shop, store, magazine"
впервые,"for the first time"
американский,"American"
запах,"smell"
район,"region, district, area, vicinity"
стекло,"glass, glassware"
выше,"above, higher, over, beyond"
количество,"quantity"
этаж,"floor, storey"
тип,"type, model"
суд,"law-court, court, justice, judgment, trial, the judges, the bench"
выход,"exit, way out, leaving, withdrawal"
дочь,"daughter"
характер,"character, temper, disposition"
опыт,"experience, expertise, skill"
площадь,"area (geometry)"
управление,"administration, direction, control"
мнение,"opinion"
впереди,"in front"
использовать,"use"
рост,"growth (in a living organism)"
лошадь,"horse"
кожа,"skin, leather"
служить,"to serve (eg. in the military)"
сестра,"sister"
пожалуйста,"please"
нечего,"nothing"
дождь,"rain"
желание,"desire"
болезнь,"illness, disease"
встретить,"meet"
пример,"example, instance"
позволить,"let or allow"
поле,"field"
цена,"cost or price"
карта,"card"
радость,"gladness, joy"
зато,"for it, in return"
действовать,"act, take action"
музыка,"music"
завод,"factory, plant"
добавить,"add"
лето,"summer"
станция,"station"
детский,"childish, infantile, puerile, childlike"
приказ,"an order/command"
гражданин,"citizen"
цвет,"color, colour"
статья,"article, item, clause, point, class, rating"
круг,"circle, sphere, range, scope, reach, lap"
столь,"so and such (literary)"
факт,"fact"
причём,"Moreover, in addition, besides, what's more, and, at that, with"
учиться,"to study"
средний,"middle, average, mean, middling"
современный,"modern/contemporary (adj)"
лагерь,"camp"
недавно,"recently"
удовольствие,"pleasure, amusement"
возраст,"age"
передать,"to transfer"
сад,"garden"
проводить,"spend"
задача,"task, exercise, problem"
название,"name title"
двигаться,"to move, advance"
большинство,"the majority, most"
председатель,"chairman, president, the Speaker"
прямой,"straight, upright, erect, through, direct, straightforward, frank, sincere, real"
попробовать,"attempt, try, endeavour, test, taste, feel"
вверх,"up, upwards, upstream"
знак,"sign, token, symbol, mark, omen, signal"
семь,"seven, 7"
мозг,"brain, marrow, brains"
обязательно,"necessarily"
очередной,"another recurrent next (adj)"
деятельность,"activity"
страшно,"scarily, fearfully"
ставить,"to put or place"
здание,"building, edifice"
искусство,"art"
начало,"beginning, commencement, start, onset"
срок,"deadline"
одежда,"clothing"
корабль,"ship, ferry"
художник,"artist, painter"
курс,"course, policy, rate of exchange"
дорогой,"expensive, costly, precious"
оттуда,"from there"
фирма,"firm"
тема,"topic"
мировой,"first-rate, first-class"
линия,"line"
сутки,"twenty-four hours, day, nychthemeron"
ключ,"key, clue, clef, source, spring"
немедленно,"immediately, at once"
остров,"island, isle"
театр,"theatre, play-house, dramatic works, plays"
производство,"production"
трое,"three of ..."
материал,"material, stuff, fabric"
значение,"meaning, significance"
отказаться,"refuse, decline, repudiate"
способ,"way"
волна,"wave"
специальный,"special"
представитель,"representative"
рынок,"market"
впечатление,"impression, influence, effect"
отдел,"department"
успех,"success"
население,"population, inhabitants, peopling, setting"
вдоль,"along"
следить,"watch, spy, shadow, follow"
спасти,"save, rescue, salvage"
знание,"knowledge"
масса,"weight"
одновременно,"simultaneously"
естественно,"naturally, of course"
направление,"direction"
победа,"victory/triumph"
сотрудник,"employee"
городской,"urban"
адрес,"address"
обращаться,"treat handle"
период,"period"
пользоваться,"make use of, profit, enjoy, use"
клуб,"club, club-house, puff"
восемь,"eight, 8"
предмет,"the subject, the item, the matter"
честь,"to honour, to honor, to respect"
наблюдать,"observe, monitor, watch"
наоборот,"on the contrary, inside out, back to front, the wrong way, vice-versa"
культура,"culture"
территория,"territory"
гораздо,"much, far, by far, way"
поздно,"it is late, late"
остановить,"stop, bring to stop"
полностью,"completely, utterly, in full"
страница,"page"
размер,"size"
предприятие,"enterprise (doanh nghiệp)/venture"
английский,"English, British"
принцип,"principle"
платить,"to pay"
вероятно,"likely, probably, perhaps"
руководитель,"leader"
наиболее,"most, in advance"
внутри,"inside, within"
фильм,"movie, film"
специалист,"specialist, expert"
образование,"education"
выбрать,"choose, select, pick out, elect, take out"
тяжело,"hard, difficult"
продукт,"product, produce"
постепенно,"gradually, little by little, by degrees"
собрать,"gather, collect, convoke, assemble, equip, make gathers"
внимательно,"attentively, carefully, intently"
скорость,"speed, rate, velocity"
участок,"region, lot, plot, strip, parcel"
текст,"text, words"
участие,"participation"
мост,"bridge"
примерно,"around"
здоровье,"health"
морской,"marine, maritime, naval, nautical"
отсутствие,"absence"
случайно,"by chance, by accident, accidentally, by any chance"
мясо,"meat"
отметить,"mark, note, mark off, mention, register"
доска,"board, plank, slab"
убийство,"murder, assassination"
настроение,"mood, humour, sentiments, mindset"
постоянно,"constantly, continually, always"
долг,"debt"
настолько,"so much"
предложение,"proposal suggestion"
внешний,"external (adj)"
проверить,"check, verify, test, examine, audit"
отправить,"send"
оставлять,"leave, leave alone"
ресторан,"restaurant"
список,"list, record"
праздник,"holiday, feast, a festive occasion"
автобус,"bus, coach"
организм,"organism"
масло,"butter / oil"
международный,"international"
пиво,"beer"
полтора,"one and a half"
центральный,"central, metropolitan"
защита,"defence"
энергия,"energy"
тепло,"warm, it is warm"
установить,"set up install place"
внезапно,"suddenly, all of a sudden"
напротив,"opposite, in front of, on the contrary"
перейти,"get across, get over, cross, get, pass on, pass, turn, move on"
практически,"hardly"
существование,"existence"
вход,"entrance, entry"
церковь,"church"
музей,"museum"
опасность,"danger, peril, jeopardy"
поиск,"search"
источник,"source, a place where something is born appears or begins to spread"
выступать,"oppose publicly"
определить,"define, determine"
представление,"notion, idea, conception"
способность,"ability"
понятие,"concept"
водитель,"driver"
изменение,"a change"
вывод,"conclusion"
комиссия,"commission, committee"
стоить,"cost"
множество,"tons of"
явление,"phenomenon"
очевидно,"obviously, apparently, manifestly, evidently"
рано,"it is early, it is too early, early"
строить,"to build, construct"
ниже,"lower, below"
наверняка,"for sure, certainly"
озеро,"lake"
разобраться,"figure out, deal with"
кино,"cinema, pictures, movies"
должность,"position (job)"
песня,"song"
выполнять,"to perform to carry out"
проект,"project, design, scheme, draft"
навсегда,"forever, for good"
суть,"essence"
платье,"dress, gown"
хозяйство,"farm"
пункт,"point, station, paragraph, item, plank"
вкус,"taste, manner, style"
спустя,"after"
кофе,"coffee"
отделение,"separation"
подать,"tax"
телевизор,"television set, TV set"
помещение,"room"
поведение,"behavior, behaviour"
создание,"creation"
собрание,"meeting, gathering, assembly, collection"
безопасность,"safety, security"
заявление,"statement, declaration, application, written request"
подарок,"present, gift"
университет,"university"
товар,"commodity, article, goods, wares"
абсолютно,"absolutely, perfectly, utterly"
политика,"politics"
вес,"weight"
поток,"stream or flow"
решать,"decide, determine, resolve, be determined, solve"
выполнить,"implement, accomplish, carry into effect, realize"
корпус,"body, corpus"
близко,"near, close by, nearly"
редко,"rarely"
сеть,"web, meshes, toils, system, circuit, net, fishnet"
сообщение,"message"
парк,"park, fleet, stock, yard, depot"
бороться,"to fight (reflexive)"
расстояние,"distance, space"
официальный,"official"
выбор,"choice, selection, option, alternative, election"
содержание,"content, matter, substance, table of contents"
участвовать,"participate, to take part in"
температура,"temperature, high temperature"
создавать,"create, originate, set up, establish, found"
слой,"layer"
ровно,"evenly"
заместитель,"deputy, vice-"
отличие,"distinction difference(from)"
исследование,"research, investigation, analysis, exploration, paper, essay"
научиться,"learn"
техника,"technique"
контроль,"control"
влияние,"influence"
покупать,"buy, purchase, bathe, bath"
следствие,"consequence"
насколько,"how much, as far as, so far as"
выбирать,"choose, select, pick out, take out"
заранее,"in advance"
сохранить,"keep"
менять,"change, exchange"
указать,"to point out/at [something], indicate"
открытие,"discovery, throwing open, opening"
храм,"temple"
строительство,"construction, building, project"
погода,"weather"
шоссе,"highway, macadam road"
уничтожить,"destroy, annihilate, obliterate"
добиться,"to achieve"
поддерживать,"support, back, second, maintain, keep up, bear"
отлично,"excellently"
особенность,"peculiarity"
памятник,"monument, memorial, tombstone, statue"
покинуть,"leave, abandon, desert, forsake"
везде,"everywhere"
сегодняшний,"today's (adj)"
юг,"south"
новость,"news"
поражение,"defeat"
компьютер,"computer"
договор,"agreement"
библиотека,"library, lending library, reference library"
согласно,"according to"
депутат,"government official, deputy"
удобный,"comfortable, handy, cosy"
ответственность,"responsibility, amenability"
переход,"passing, crossing, transition, change, crossing, march, passing"
услуга,"service"
модель,"model, pattern"
отдых,"rest"
поддержка,"backing, seconding, encouragement, support"
разрешение,"permission, permit, authorization, authorisation, licence, solution, settlement"
производить,"to produce/to make"
кладбище,"cemetery, burial-ground, graveyard, church yard"
шанс,"chance"
исключительно,"exclusively"
прекратить,"stop, cease, discontinue, put an end, make an end, bring to a stop, break off, sever"
обеспечить,"to provide"
организовать,"organize, to organise"
стиль,"style"
концерт,"concert, recital, concerto"
приобрести,"acquire, gain, "
особо,"really, particularly"
поддержать,"support"
якобы,"as if /as though / allegedly / supposedly"
продолжить,"continue, go on, proceed, keep on, extend, prolong"
метро,"metro"
отдохнуть,"rest, be resting, be on holiday, relax"
бизнес,"business"
вовремя,"on time, in time"
оценка,"grade"
использование,"utilization, usage, using, utilisation"
наличие,"availability presence"
применять,"apply employ use"
путешествие,"journey, voyage, trip, travels"
давление,"pressure"
дважды,"twice, two times"
вне,"out of, outside, off"
воспользоваться,"avail oneself, profit, take advantage, appropriate"
штат,"state"
продажа,"sale, selling"
отличный,"excellent, awesome, first-class, great"
относительно,"relatively, about, quite"
переговоры,"negotiations, talks, parley"
выступление,"performance"
торговля,"trade, commerce"
транспорт,"transport, transportation, consignment, train, supply ship, troop transport, troopship, troop-carrier, carrying forward"
недалеко,"not far, close"
обмен,"exchange, interchange, barter"
перевод,"translation, interpretation"
кафе,"café, coffee-house"
режиссёр,"producer"
воскресенье,"Sunday"
проверка,"check-up control or examination"
питание,"nourishment or nutrition"
накануне,"the day before, on the eve, just before"
выставка,"exhibition"
помимо,"in addition to"
брак,"marriage"
соответствовать,"suit conform be consistent with"
заменить,"to replace"
нормально,"normally"
корреспондент,"correspondent, reporter"
стоимость,"cost, value"
впоследствии,"afterwards, later, later on, subsequently"
вина,"fault"
объём,"volume, capacity, size, extend, scope"
флот,"fleet"
налог,"tax"
выделить,"allocate, pick out, choose, single out, allot, ear-mark, detach, find, provide, apportion, mark out, distinguish, secrete, excrete, discharge, exude, educe, isolate"
задать,"ask, give, set"
плюс,"plus, advantage"
сопротивление,"resistance"
доход,"income, revenue, profit, return, receipts, earnings"
проспект,"avenue, prospectus, booklet, folder"
заказать,"order"
мебель,"furniture"
общение,"communication"
ремонт,"repair, maintenance, remount service"
заказ,"order, prohibition, interdict"
практика,"practice"
наступление,"arrival or onset"
привлечь,"to attract"
выполнение,"implementation, fulfilment, carrying-out"
имущество,"property, belongings, stock, stores, equipment"
сюжет,"plot"
монастырь,"monastery"
аэропорт,"airport"
рис,"rice, paddy"
крепость,"stronghold"
интервью,"interview"
адвокат,"advocate, counsellor, "
восстановить,"to restore"
внести,"to bring in, carry in, make"
непосредственно,"immediately, directly"
реклама,"advertisement, publicity, advertising"
премьера,"premiere, new production"
предоставить,"to grant, to provide"
приговор,"sentence, verdict, condemnation"
избавиться,"to get rid of"
преимущество,"advantage, vantage"
мусор,"garbage, trash, debris, rubbish, sweepings, dust, refuse, police (slang)"
салон,"salon cabin"
бюро,"bureau"
подробно,"in detail, at length, minutely"
село,"village"
уточнить,"to clarify"
набор,"set/kit range assortment collection"
украинский,"Ukrainian"
объявление,"advertisement or announcement"
общаться,"communicate socialise converse deal with"
управлять,"control"
ежедневно,"daily, every day"
официально,"officially"
бесплатно,"free of charge, gratis"
мэр,"mayor"
уникальный,"unique"
мяч,"ball"
матч,"match"
игрок,"player, gambler"
сотрудничество,"cooperation"
соглашение,"agreement, understanding, covenant"
выпуск,"graduation: release"
избежать,"to escape, to run from"
понедельник,"Monday"
увеличить,"increase, enlarge, extend, augment, magnify"
посетить,"visit"
контракт,"contract, agreement"
офис,"office"
обувь,"shoes"
факультет,"faculty, department"
сравнительно,"comparatively, relatively"
агентство,"agency"
вероятность,"likelihood"
оформить,"formalize, form, formalise"
стандартный,"standard"
чемпион,"champion, title-holder"
сочетание,"combination"
ущерб,"damage, loss, detriment, prejudice"
вследствие,"as a result of, owing to, on account of, in consequence of"
побережье,"sea-coast, coast, seaboard, littoral, shore"
развивать,"to develop"
обслуживание,"service"
приблизительно,"approximately, roughly"
частично,"in part, partially"
оформление,"paperwork, appearance, design, official registration, legalization"
штраф,"finе"
турнир,"tournament"
жительство,"residence"
финал,"finale, ending, denouement, final"
менеджер,"manager"
четверг,"Thursday"
меню,"menu, bill of fare"
вторник,"Tuesday"
экспорт,"export"
отопление,"heating"
достичь,"to reach"
банка,"jar"
недвижимость,"real estatе"
скидка,"discount"
улучшить,"improve, make better, ameliorate, amend, grade up, better, improve on"
доставка,"delivery"
комфорт,"comfort"
кондиционер,"air-conditioner"
удалять,"delete"
мор,"pestilence, wholesale deaths"
ассортимент,"assortment, set"
порекомендовать,"recommend, advise"
деньги,"money, funds, cash"
всё,"always, all the time, the whole time, still, only, all, all the same, however, nevertheless"
должен,"must, have to, be bound, ought, should"
что-то,"something, somehow, it looks as if"
больше,"more"
нужно,"it is necessary, must, one should, one ought, you should, you ought, should"
кто-то,"somebody, someone"
рядом,"near, next to, side by side, beside, by, next, next door"
всего,"in all, only, in total, merely"
дома,"at home"
что-нибудь,"anything, something"
где-то,"somewhere, anywhere"
лучше,"better, it is better"
пожалуй,"perhaps, very likely, maybe, I think"
лично,"personally"
меньше,"less"
по-прежнему,"as before, as usual"
часы,"watch, wrist-watch, clock"
ворота,"gate, gates, goal, hoop"
очки,"glasses, spectacles, goggles"
чего,"what"
неизвестно,"unknown, it is not known"
полка,"the shelf, the rack"
угодно,"wanted, needed"
тур,"turn, round, gabion, aurochs, Caucasian goat"
желательно,"preferable (adv)"
раньше,"before"
дальше,"farther, further, next, then, any longer"
дети,"children, kids, babies"
легче,"it is easier"
люди,"people, servants, men"
позже,"later"
родители,"parents"
скорее,"rather, sooner"
дверь,"door"
позднее,"later"
вина,"fault, guilt"
замок,"castle"
замок,"lock"